src_ip,dst_ip,src_port,Destination Port,protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
127.0.0.1,127.0.0.1,49706,8191,TCP,10.009961128234863,0,4,0.0,568,0,0,0,0,240,44,142.0,98.0,56.74347709481665,0.39960195137194826,3.336653709411621,4.718329912725877,10.009379863739014,0.0002892017364501953,0,0.0,0.0,0,0,10.009961128234863,3.336653709411621,4.718329912725877,10.009379863739014,0.0002892017364501953,0,0,0,0,0.0,80,0.0,0.39960195137194826,44,240,142.0,98.0,9604.0,0,0,0,0,0,0,0,0,0,142.0,0,142.0,0,0,0,0,0,0,0,0.0,4,568,827,0,0,0,0.0002906322479248047,1.430511474609375e-06,0.00029206275939941406,0.0002892017364501953,10.009379863739014,0.0,10.009379863739014,10.009379863739014
127.0.0.1,127.0.0.1,8191,49706,TCP,10.009886980056763,0,4,0.0,1852,0,0,0,0,882,44,463.0,419.0,185.01707398793206,0.3996049114210196,3.3366289933522544,4.718396954314796,10.00944995880127,0.00021314620971679688,0,0.0,0.0,0,0,10.009886980056763,3.3366289933522544,4.718396954314796,10.00944995880127,0.00021314620971679688,0,0,0,0,0.0,80,0.0,0.3996049114210196,44,882,463.0,419.0,175561.0,0,0,0,0,0,0,0,0,0,463.0,0,463.0,0,0,0,0,0,0,0,0.0,4,1852,937,0,0,0,0.00021851062774658203,5.364418029785156e-06,0.0002238750457763672,0.00021314620971679688,10.00944995880127,0.0,10.00944995880127,10.00944995880127
127.0.0.1,127.0.0.1,49729,8191,TCP,10.02300214767456,0,391,0.0,60254,0,0,0,0,398,44,154.10230179028133,111.47176202391847,6011.572093095834,39.010268005451444,0.02570000550685785,0.35631896603118673,4.990811109542847,2.7179718017578125e-05,0,0.0,0.0,0,0,10.02300214767456,0.02570000550685785,0.35631896603118673,4.990811109542847,2.7179718017578125e-05,0,0,0,0,0.0,7820,0.0,39.010268005451444,44,398,154.10230179028133,111.47176202391847,12425.953728717112,0,0,0,0,0,0,0,0,0,154.10230179028133,0,154.10230179028133,0,0,0,0,0,0,0,0.0,391,60254,774,0,0,0,0.00011780950211987053,0.00035239343759977873,0.005867958068847656,2.7179718017578125e-05,4.988646030426025,0.002165079116821289,4.990811109542847,4.986480951309204
127.0.0.1,127.0.0.1,8191,49729,TCP,10.022942066192627,0,390,0.0,44865,0,0,0,0,2574,44,115.03846153846153,266.31168563419334,4476.2306021232625,38.910730743966845,0.025765917907950197,0.3567801509448793,4.990925073623657,-7.605552673339844e-05,0,0.0,0.0,0,0,10.022942066192627,0.025765917907950197,0.3567801509448793,4.990925073623657,-7.605552673339844e-05,0,0,0,0,0.0,7800,0.0,38.910730743966845,44,2574,115.03846153846153,266.31168563419334,70921.91390532543,0,0,0,0,0,0,0,0,0,115.03846153846153,0,115.03846153846153,0,0,0,0,0,0,0,0.0,390,44865,985,0,0,0,0.00011753789522235092,0.00035856034121464964,0.005982160568237305,-7.605552673339844e-05,4.988727450370789,0.0021976232528686523,4.990925073623657,4.98652982711792
127.0.0.1,127.0.0.1,49720,8191,TCP,10.004945993423462,0,4,0.0,568,0,0,0,0,240,44,142.0,98.0,56.77192064538506,0.399802258066092,3.334981997807821,4.715922091456806,10.004302978515625,0.000286102294921875,0,0.0,0.0,0,0,10.004945993423462,3.334981997807821,4.715922091456806,10.004302978515625,0.000286102294921875,0,0,0,0,0.0,80,0.0,0.399802258066092,44,240,142.0,98.0,9604.0,0,0,0,0,0,0,0,0,0,142.0,0,142.0,0,0,0,0,0,0,0,0.0,4,568,827,0,0,0,0.00032150745391845703,3.540515899658203e-05,0.00035691261291503906,0.000286102294921875,10.004302978515625,0.0,10.004302978515625,10.004302978515625
127.0.0.1,127.0.0.1,8191,49720,TCP,10.004866123199463,0,4,0.0,1852,0,0,0,0,882,44,463.0,419.0,185.10992323081157,0.3998054497425736,3.334955374399821,4.7159783433877305,10.004355907440186,0.00023603439331054688,0,0.0,0.0,0,0,10.004866123199463,3.334955374399821,4.7159783433877305,10.004355907440186,0.00023603439331054688,0,0,0,0,0.0,80,0.0,0.3998054497425736,44,882,463.0,419.0,175561.0,0,0,0,0,0,0,0,0,0,463.0,0,463.0,0,0,0,0,0,0,0,0.0,4,1852,937,0,0,0,0.0002551078796386719,1.9073486328125e-05,0.0002741813659667969,0.00023603439331054688,10.004355907440186,0.0,10.004355907440186,10.004355907440186
127.0.0.1,127.0.0.1,53113,8089,TCP,0.002978086471557617,0,11,0.0,1248,0,0,0,0,453,44,113.45454545454545,126.96697039091679,419061.0353054199,3693.6469458009765,0.0002978086471557617,0.00023961950755553807,0.0008602142333984375,3.600120544433594e-05,0,0.0,0.0,0,0,0.002978086471557617,0.0002978086471557617,0.00023961950755553807,0.0008602142333984375,3.600120544433594e-05,0,0,0,0,0.0,232,0.0,3693.6469458009765,44,453,113.45454545454545,126.96697039091679,16120.611570247938,0,0,0,0,0,0,0,0,0,113.45454545454545,0,113.45454545454545,0,0,0,0,0,0,0,0.0,11,1248,65535,0,0,4,0.0002978086471557617,0.00023961950755553807,0.0008602142333984375,3.600120544433594e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8089,53113,TCP,0.0026400089263916016,0,9,0.0,3324,0,0,0,0,2196,44,369.3333333333333,655.432851039847,1259086.6518558657,3409.0793822812248,0.0003300011157989502,0.00024504916950248475,0.0008089542388916016,4.1961669921875e-05,0,0.0,0.0,0,0,0.0026400089263916016,0.0003300011157989502,0.00024504916950248475,0.0008089542388916016,4.1961669921875e-05,0,0,0,0,0.0,192,0.0,3409.0793822812248,44,2196,369.3333333333333,655.432851039847,429592.22222222225,0,0,0,0,0,0,0,0,0,369.3333333333333,0,369.3333333333333,0,0,0,0,0,0,0,0.0,9,3324,65535,0,0,4,0.0003300011157989502,0.00024504916950248475,0.0008089542388916016,4.1961669921875e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,49726,8191,TCP,10.010579109191895,0,4,0.0,568,0,0,0,0,240,44,142.0,98.0,56.73997416177973,0.39957728282943467,3.336859703063965,4.718632695694686,10.010014057159424,0.00027108192443847656,0,0.0,0.0,0,0,10.010579109191895,3.336859703063965,4.718632695694686,10.010014057159424,0.00027108192443847656,0,0,0,0,0.0,80,0.0,0.39957728282943467,44,240,142.0,98.0,9604.0,0,0,0,0,0,0,0,0,0,142.0,0,142.0,0,0,0,0,0,0,0,0.0,4,568,827,0,0,0,0.00028252601623535156,1.1444091796875e-05,0.00029397010803222656,0.00027108192443847656,10.010014057159424,0.0,10.010014057159424,10.010014057159424
127.0.0.1,127.0.0.1,8191,49726,TCP,10.010516881942749,0,4,0.0,1852,0,0,0,0,882,44,463.0,419.0,185.00543197131904,0.39957976667671496,3.336838960647583,4.718687655181691,10.010071039199829,0.00021386146545410156,0,0.0,0.0,0,0,10.010516881942749,3.336838960647583,4.718687655181691,10.010071039199829,0.00021386146545410156,0,0,0,0,0.0,80,0.0,0.39957976667671496,44,882,463.0,419.0,175561.0,0,0,0,0,0,0,0,0,0,463.0,0,463.0,0,0,0,0,0,0,0,0.0,4,1852,937,0,0,0,0.00022292137145996094,9.059906005859375e-06,0.0002319812774658203,0.00021386146545410156,10.010071039199829,0.0,10.010071039199829,10.010071039199829
127.0.0.1,127.0.0.1,53114,8000,TCP,3.79042387008667,0,5950,0.0,6594068,0,0,0,0,65324,44,1108.2467226890756,8135.9423509791195,1739665.0680783158,1569.7452854696037,0.0006371531131428256,0.004722829518646199,0.11683011054992676,1.4066696166992188e-05,0,0.0,0.0,0,0,3.79042387008667,0.0006371531131428256,0.004722829518646199,0.11683011054992676,1.4066696166992188e-05,0,0,0,0,0.0,119012,0.0,1569.7452854696037,44,65324,1108.2467226890756,8135.9423509791195,66193557.93845565,0,0,0,0,0,0,0,0,0,1108.2467226890756,0,1108.2467226890756,0,0,0,0,0,0,0,0.0,5950,6594068,65535,0,0,4,0.0006371531131428256,0.004722829518646199,0.11683011054992676,1.4066696166992188e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53115,8000,TCP,3.791041851043701,0,5493,0.0,6579784,0,0,0,0,65324,44,1197.848898598216,8461.488680426359,1735613.6541168855,1448.9420628494875,0.0006902843865702296,0.004987824221350231,0.14345812797546387,1.5020370483398438e-05,0,0.0,0.0,0,0,3.791041851043701,0.0006902843865702296,0.004987824221350231,0.14345812797546387,1.5020370483398438e-05,0,0,0,0,0.0,109872,0.0,1448.9420628494875,44,65324,1197.848898598216,8461.488680426359,71596790.6889834,0,0,0,0,0,0,0,0,0,1197.848898598216,0,1197.848898598216,0,0,0,0,0,0,0,0.0,5493,6579784,65535,0,0,4,0.0006902843865702296,0.004987824221350231,0.14345812797546387,1.5020370483398438e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53116,8000,TCP,3.7902231216430664,0,6239,0.0,6561920,0,0,0,0,65324,44,1051.7582945984934,7906.363846740733,1731275.3865412017,1646.0772360270405,0.0006076022958709629,0.004965815009310533,0.20653009414672852,1.1920928955078125e-05,0,0.0,0.0,0,0,3.7902231216430664,0.0006076022958709629,0.004965815009310533,0.20653009414672852,1.1920928955078125e-05,0,0,0,0,0.0,124792,0.0,1646.0772360270405,44,65324,1051.7582945984934,7906.363846740733,62510589.277048916,0,0,0,0,0,0,0,0,0,1051.7582945984934,0,1051.7582945984934,0,0,0,0,0,0,0,0.0,6239,6561920,65535,0,0,4,0.0006076022958709629,0.004965815009310533,0.20653009414672852,1.1920928955078125e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53121,8000,TCP,3.790613889694214,0,6116,0.0,6533084,0,0,0,0,65324,44,1068.19555264879,7984.494849210962,1723489.701170018,1613.4589747132945,0.000619887798805268,0.004623139857716438,0.10033679008483887,1.4066696166992188e-05,0,0.0,0.0,0,0,3.790613889694214,0.000619887798805268,0.004623139857716438,0.10033679008483887,1.4066696166992188e-05,0,0,0,0,0.0,122332,0.0,1613.4589747132945,44,65324,1068.19555264879,7984.494849210962,63752157.99707638,0,0,0,0,0,0,0,0,0,1068.19555264879,0,1068.19555264879,0,0,0,0,0,0,0,0.0,6116,6533084,65535,0,0,4,0.000619887798805268,0.004623139857716438,0.10033679008483887,1.4066696166992188e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53118,8000,TCP,3.7908098697662354,0,5042,0.0,6552260,0,0,0,0,65324,44,1299.5358984529948,8824.763769162082,1728459.1485998353,1330.0587930333,0.0007519956099516435,0.005323339626235672,0.15316081047058105,1.4781951904296875e-05,0,0.0,0.0,0,0,3.7908098697662354,0.0007519956099516435,0.005323339626235672,0.15316081047058105,1.4781951904296875e-05,0,0,0,0,0.0,100852,0.0,1330.0587930333,44,65324,1299.5358984529948,8824.763769162082,77876455.58151576,0,0,0,0,0,0,0,0,0,1299.5358984529948,0,1299.5358984529948,0,0,0,0,0,0,0,0.0,5042,6552260,65535,0,0,4,0.0007519956099516435,0.005323339626235672,0.15316081047058105,1.4781951904296875e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53117,8000,TCP,3.7895119190216064,0,5685,0.0,6522824,0,0,0,0,65324,44,1147.3744942832013,8276.3713393613,1721283.4104725795,1500.1931967713085,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0,0.0,0.0,0,0,3.7895119190216064,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0,0,0,0,0.0,113712,0.0,1500.1931967713085,44,65324,1147.3744942832013,8276.3713393613,68498322.54700117,0,0,0,0,0,0,0,0,0,1147.3744942832013,0,1147.3744942832013,0,0,0,0,0,0,0,0.0,5685,6522824,65535,0,0,4,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53120,8000,TCP,3.7897450923919678,0,5034,0.0,6494404,0,0,0,0,65324,44,1290.1080651569328,8785.197062159723,1713678.3191665635,1328.321530148799,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0,0.0,0.0,0,0,3.7897450923919678,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0,0,0,0,0.0,100692,0.0,1328.321530148799,44,65324,1290.1080651569328,8785.197062159723,77179687.42097981,0,0,0,0,0,0,0,0,0,1290.1080651569328,0,1290.1080651569328,0,0,0,0,0,0,0,0.0,5034,6494404,65535,0,0,4,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0.0,0.0,0.0,0.0
